TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
41073,izmir,buca,buca necla-tevfik karadavut mesleki ve teknik anadolu lisesi,anadolu meslek programi,endustriyel otomasyon teknolojileri alani (sinavli),ingilizce,185.3017,97.52,331.0737,25.65,258.1877
50176,kahramanmaras,onikisubat,kahramanmaras tobb fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,469.0965,1.12,496.296,0.03,482.69624999999996
50395,kahramanmaras,onikisubat,kahramanmaras fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,459.387,1.9,492.5576,0.08,475.9723
39756,kahramanmaras,elbistan,elbistan borsa istanbul fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,437.3928,4.3,482.7521,0.34,460.07245
50604,kahramanmaras,goksun,goksun fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,400.0412,9.92,449.8667,2.83,424.95394999999996
49397,kahramanmaras,afsin,afsin fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,398.5451,10.18,462.3346,1.65,430.43985
49458,kahramanmaras,pazarcik,pazarcik fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,387.9745,12.11,442.0572,3.73,415.01585
40831,kahramanmaras,onikisubat,kahramanmaras sosyal bilimler lisesi,hazirlik sinifi bulunmayan sosyal bilimler lisesi,,ingilizce,377.8998,14.11,436.6547,4.39,407.27725
49980,kahramanmaras,onikisubat,cukurova elektrik anadolu lisesi,anadolu lisesi,,ingilizce,445.9156,3.27,459.2793,1.91,452.59745
50024,kahramanmaras,onikisubat,erdem bayazit anadolu lisesi,anadolu lisesi,,ingilizce,433.0759,4.85,457.9891,2.03,445.5325
50667,kahramanmaras,dulkadiroglu,kadriye calik anadolu lisesi,anadolu lisesi,,ingilizce,423.153,6.22,444.4877,3.44,433.82035
49684,kahramanmaras,elbistan,elbistan anadolu lisesi,anadolu lisesi,,ingilizce,400.1207,9.91,437.2587,4.32,418.6897
